,date,open,high,low,close,volume
1987,2023-10-09 14:10:00,174.31,174.41,174.28,174.34,183558
1988,2023-10-09 14:15:00,174.34,174.42,174.31,174.32,475575
1989,2023-10-09 14:20:00,174.32,174.43,174.28,174.4,186966
1990,2023-10-09 14:25:00,174.4,174.48,174.36,174.46,129817
1991,2023-10-09 14:30:00,174.47,174.48,174.32,174.34,143673
1992,2023-10-09 14:35:00,174.34,174.36,174.2,174.3,146501
1993,2023-10-09 14:40:00,174.29,174.51,174.29,174.45,259014
1994,2023-10-09 14:45:00,174.45,174.45,174.32,174.37,109855
1995,2023-10-09 14:50:00,174.38,174.41,174.28,174.39,90745
1996,2023-10-09 14:55:00,174.39,174.54,174.39,174.4,220970
1997,2023-10-09 15:00:00,174.27,174.44,174.24,174.33,250439
1998,2023-10-09 15:05:00,174.43,174.45,174.28,174.3,251253
1999,2023-10-09 15:10:00,174.31,174.37,174.18,174.18,569374
2000,2023-10-09 15:15:00,174.18,174.23,174.09,174.1,459321
2001,2023-10-09 15:20:00,174.1,174.23,174.04,174.19,218422
2002,2023-10-09 15:25:00,174.19,174.23,174.08,174.18,134396
2003,2023-10-09 15:30:00,174.18,174.18,173.97,173.98,178879
2004,2023-10-09 15:35:00,173.98,174.05,173.94,173.96,199222
2005,2023-10-09 15:40:00,173.96,173.98,173.84,173.86,229413
2006,2023-10-09 15:45:00,173.85,173.9,173.76,173.84,326816
2007,2023-10-09 15:50:00,173.84,173.89,173.75,173.81,891445
2008,2023-10-09 15:55:00,173.81,174.03,173.81,174.01,1582877
2009,2023-10-10 09:30:00,174.31,174.75,174.28,174.53,1181278
2010,2023-10-10 09:35:00,174.53,174.96,174.49,174.87,723680
2011,2023-10-10 09:40:00,174.87,175.13,174.69,174.85,727769
2012,2023-10-10 09:45:00,174.85,175.26,174.7,175.2,540493
2013,2023-10-10 09:50:00,175.21,175.54,175.2,175.51,616742
2014,2023-10-10 09:55:00,175.51,175.56,175.26,175.55,542986
2015,2023-10-10 10:00:00,175.55,175.74,175.52,175.66,533465
2016,2023-10-10 10:05:00,175.67,175.93,175.6,175.88,470862
2017,2023-10-10 10:10:00,175.88,176.18,175.8,176.16,495489
